fiscal_year,kan_no,kan_name,ko_no,ko_name,moku_no,moku_name,initial_budget,supplementary,carryover_in,reserve_or_transfer,budget_total,expended,carryover_out,carryover_out_continuing,carryover_out_explicit,carryover_out_accident,unused,source
2019,9,消防費,1,消防費,4,水防費,50000,-5000,0,0,45000,44257,,0,0,0,743,R1決算書p78
2019,9,消防費,1,消防費,6,災害防止費,601000,-238000,0,0,363000,362520,,0,0,0,480,R1決算書p78
2019,9,消防費,1,消防費,7,山岳遭難救助費,1764000,-1289000,0,0,475000,467691,,0,0,0,7309,R1決算書p78
2019,10,教育費,1,教育総務費,1,教育委員会費,1116000,-85000,0,0,1031000,994750,,0,0,0,36250,R1決算書p79
2019,10,教育費,1,教育総務費,2,事務局費,27426000,579000,0,0,28005000,25277583,,0,0,0,2727417,R1決算書p79
2019,10,教育費,1,教育総務費,4,文化財保存費,7112000,-127000,0,0,6985000,6630384,,0,0,0,354616,R1決算書p80
2019,10,教育費,1,教育総務費,6,文化施設費,14729000,267000,0,0,14996000,14677913,,0,0,0,318087,R1決算書p82
2019,10,教育費,2,小学校費,1,学校管理費,29570000,1104000,25418000,0,56092000,55082941,,0,0,0,1009059,R1決算書p83
2019,10,教育費,2,小学校費,2,教育振興費,2685000,28000,0,0,2713000,2383436,,0,0,0,329564,R1決算書p85
2019,10,教育費,3,中学校費,1,学校管理費,26106000,1097000,17520000,0,44723000,44604507,,0,0,0,118493,R1決算書p86
2019,10,教育費,3,中学校費,2,教育振興費,2211000,-167000,0,0,2044000,2018939,,0,0,0,25061,R1決算書p88
2019,10,教育費,4,社会教育費,1,社会教育総務費,6301000,374000,0,0,6675000,6466455,,0,0,0,208545,R1決算書p89
2019,10,教育費,4,社会教育費,2,公民館費,10373000,380000,0,0,10753000,10349638,,0,0,0,403362,R1決算書p89
2019,10,教育費,5,保健体育費,1,保健体育総務費,820000,-28000,0,0,792000,755602,,0,0,0,36398,R1決算書p91
2019,10,教育費,5,保健体育費,2,学校給食運営費,10798000,-394000,0,0,10404000,10242596,,0,0,0,161404,R1決算書p91
2019,10,教育費,5,保健体育費,4,体育施設管理費,316000,297182000,0,0,297498000,8103175,,0,280060000,0,9334825,R1決算書p93
2019,11,災害復旧費,1,農林水産業施設災害復旧費,1,農地農業用施設災害復旧費,5058000,948000,0,0,6006000,5513200,,0,0,0,492800,R1決算書p93
2019,11,災害復旧費,1,農林水産業施設災害復旧費,2,林道施設災害復旧費,2503000,-1051000,26675000,0,28127000,28126160,,0,0,0,840,R1決算書p93
2019,11,災害復旧費,2,公共土木施設災害復旧費,1,道路橋梁災害復旧費,28762000,295000,157804000,-528000,186333000,176054603,,0,10168000,0,110397,R1決算書p94
2019,11,災害復旧費,2,公共土木施設災害復旧費,3,河川災害復旧費,0,0,34438000,528000,34966000,34607500,,0,0,0,358500,R1決算書p94
2019,12,公債費,1,公債費,1,元金,154408000,-4160000,0,0,150248000,149775392,,0,0,0,472608,R1決算書p94
2019,12,公債費,1,公債費,2,利子,13486000,-7866000,0,0,5620000,4027033,,0,0,0,1592967,R1決算書p95
