fiscal_year,kan_no,kan_name,ko_no,ko_name,moku_no,moku_name,jigyo_name,setsu_no,setsu_name,level,is_leaf,saisetsu_name,saisaisetsu_name,dan2_name,dan3_name,dan4_name,amount,source
2018,2,総務費,1,総務管理費,1,一般管理費,一般職人事管理経費（総務費）,2,給料,1,0,,,,,,44204400,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,一般職人事管理経費（総務費）,2,給料,2,0,21職員給料,,,,,44204400,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,一般職人事管理経費（総務費）,2,給料,3,1,21職員給料,01特別職・一般職給料,,,,44204400,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,一般職人事管理経費（総務費）,3,職員手当等,1,0,,,,,,50713597,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,一般職人事管理経費（総務費）,3,職員手当等,2,1,21職員手当等,,,,,50713597,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,一般職人事管理経費（総務費）,4,共済費,1,0,,,,,,13771487,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,一般職人事管理経費（総務費）,4,共済費,2,0,31一般職共済費,,,,,13771487,H30決算書p30
2018,2,総務費,1,総務管理費,1,一般管理費,一般職人事管理経費（総務費）,4,共済費,3,1,31一般職共済費,01地方公務員共済組合等負担金,,,,13771487,H30決算書p30
2018,2,総務費,1,総務管理費,1,一般管理費,互助会、災害補償基金経費,,,0,0,,,,,,694526,H30決算書p30
2018,2,総務費,1,総務管理費,1,一般管理費,互助会、災害補償基金経費,19,負担金補助及び交付金,1,0,,,,,,694526,H30決算書p30
2018,2,総務費,1,総務管理費,1,一般管理費,互助会、災害補償基金経費,19,負担金補助及び交付金,2,0,01負担金（人件費）,,,,,694526,H30決算書p30
2018,2,総務費,1,総務管理費,1,一般管理費,互助会、災害補償基金経費,19,負担金補助及び交付金,3,1,01負担金（人件費）,01町村職員互助会負担金,,,,371693,H30決算書p30
2018,2,総務費,1,総務管理費,1,一般管理費,互助会、災害補償基金経費,19,負担金補助及び交付金,3,1,01負担金（人件費）,02地方公務員災害補償基金負担金,,,,322833,H30決算書p30
2018,2,総務費,1,総務管理費,1,一般管理費,臨時職員管理経費（社会保険等）,,,0,0,,,,,,5578371,H30決算書p30
2018,2,総務費,1,総務管理費,1,一般管理費,臨時職員管理経費（社会保険等）,4,共済費,1,0,,,,,,5578371,H30決算書p30
2018,2,総務費,1,総務管理費,1,一般管理費,臨時職員管理経費（社会保険等）,4,共済費,2,0,41臨時職員等共済費,,,,,5578371,H30決算書p30
2018,2,総務費,1,総務管理費,1,一般管理費,臨時職員管理経費（社会保険等）,4,共済費,3,1,41臨時職員等共済費,01社会保険料,,,,5578371,H30決算書p30
2018,2,総務費,1,総務管理費,1,一般管理費,臨時職員管理経費（総務課）,,,0,0,,,,,,2479600,H30決算書p30
2018,2,総務費,1,総務管理費,1,一般管理費,臨時職員管理経費（総務課）,7,賃金,1,0,,,,,,2479600,H30決算書p30
2018,2,総務費,1,総務管理費,1,一般管理費,臨時職員管理経費（総務課）,7,賃金,2,0,11臨時職員賃金,,,,,2479600,H30決算書p30
2018,2,総務費,1,総務管理費,1,一般管理費,臨時職員管理経費（総務課）,7,賃金,3,1,11臨時職員賃金,01臨時職員賃金,,,,2479600,H30決算書p30
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,,,0,0,,,,,,9114931,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,1,報酬,1,0,,,,,,237500,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,1,報酬,2,0,11委員報酬,,,,,237500,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,1,報酬,3,1,11委員報酬,01自治会広報係報酬,,,,237500,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,7,賃金,1,0,,,,,,225000,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,7,賃金,2,0,31作業員賃金,,,,,225000,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,7,賃金,3,1,31作業員賃金,01情報無線電池交換賃金,,,,225000,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,11,需用費,1,0,,,,,,2488733,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,11,需用費,2,0,01消耗品,,,,,115287,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,11,需用費,3,1,01消耗品,01消耗品,,,,28587,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,11,需用費,3,1,01消耗品,02情報無線電池代,,,,86700,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,11,需用費,2,0,31印刷製本費,,,,,2013380,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,11,需用費,3,1,31印刷製本費,01広報おおしか印刷代,,,,2013380,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,11,需用費,2,0,41光熱水費,,,,,86826,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,11,需用費,3,1,41光熱水費,01電気料（情報無線）,,,,86826,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,11,需用費,2,0,51修繕費,,,,,273240,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,11,需用費,3,1,51修繕費,01修繕費（情報無線）,,,,273240,H30決算書pNone
2018,2,総務費,1,総務管理費,2,文書広報費,文書広報一般経費,12,役務費,1,0,,,,,,1876098,H30決算書pNone
