fiscal_year,kan_no,kan_name,ko_no,ko_name,moku_no,moku_name,initial_budget,supplementary,carryover_in,budget_total,assessed,received,bad_debt,uncollected,source
2019,19,諸収入,2,預金利子,1,村預金利子,121000,0,0,121000,33288,33288,0,0,R1決算書p23
2019,19,諸収入,3,貸付金元利収入,1,貸付金元利収入,300000,-300000,0,0,0,0,0,0,R1決算書p23
2019,19,諸収入,3,貸付金元利収入,2,奨学資金貸付金元利収入,50000,0,0,50000,50000,50000,0,0,R1決算書p23
2019,19,諸収入,4,受託事業収入,1,農林水産業費受託事業収入,12330000,-12125000,0,205000,200081,200081,0,0,R1決算書p23
2019,19,諸収入,4,受託事業収入,2,授産事業受託収入,5558000,360000,0,5918000,5918995,5918995,0,0,R1決算書p23
2019,19,諸収入,4,受託事業収入,3,特定健康診査等受託料,1022000,-122000,0,900000,900300,900300,0,0,R1決算書p24
2019,19,諸収入,5,雑入,1,雑入,26238000,136877000,46840800,209955800,208937187,208165610,0,771577,R1決算書p24
2019,19,諸収入,5,雑入,4,介護給付費収入,5160000,679000,0,5839000,5839440,5839440,0,0,R1決算書p26
2019,20,村債,1,村債,1,総務債,315900000,500000,8600000,325000000,91200000,91200000,0,0,R1決算書p26
2019,20,村債,1,村債,3,災害復旧債,13200000,-13000000,11500000,11700000,11600000,11600000,0,0,R1決算書p26
2019,20,村債,1,村債,4,教育債,0,0,14100000,14100000,14100000,14100000,0,0,R1決算書p26
2020,1,村税,1,村民税,1,個人村民税,24208000,2414000,0,26622000,26635404,26579678,0,55726,R2決算書p10
2020,1,村税,1,村民税,2,法人村民税,19942000,1642000,0,21584000,21585600,15840000,0,5745600,R2決算書p10
2020,1,村税,2,固定資産税,1,固定資産税,44873000,1691000,0,46564000,46563100,46518692,0,44408,R2決算書p10
2020,1,村税,2,固定資産税,2,国有資産等所在市町村交付金及び納付金,91352000,0,0,91352000,91353400,91353400,0,0,R2決算書p10
2020,1,村税,3,軽自動車税,1,軽自動車税,1000,0,0,1000,0,0,0,0,R2決算書p10
2020,1,村税,3,軽自動車税,2,環境性能割,30000,191000,0,221000,221700,221700,0,0,R2決算書p10
2020,1,村税,3,軽自動車税,3,種別割,4834000,162000,0,4996000,4996300,4996300,0,0,R2決算書p10
2020,1,村税,4,村たばこ税,1,村たばこ税,2508000,116000,0,2624000,2624120,2624120,0,0,R2決算書p11
2020,1,村税,8,入湯税,1,入湯税,186000,-4000,0,182000,182250,182250,0,0,R2決算書p11
2020,2,地方譲与税,1,地方揮発油譲与税,1,地方揮発油譲与税,6831000,-614000,0,6217000,6217000,6217000,0,0,R2決算書p11
2020,2,地方譲与税,2,自動車重量譲与税,1,自動車重量譲与税,18364000,-274000,0,18090000,18090000,18090000,0,0,R2決算書p11
2020,2,地方譲与税,5,森林環境譲与税,1,森林環境譲与税,11700000,12000,0,11712000,11712000,11712000,0,0,R2決算書p11
2020,3,利子割交付金,1,利子割交付金,1,利子割交付金,89000,-32000,0,57000,57000,57000,0,0,R2決算書p11
2020,4,配当割交付金,1,配当割交付金,1,配当割交付金,222000,31000,0,253000,253000,253000,0,0,R2決算書p12
2020,5,株式等譲渡所得割交付金,1,株式等譲渡所得割交付金,1,株式等譲渡所得割交付金,223000,70000,0,293000,293000,293000,0,0,R2決算書p12
2020,6,法人事業税交付金,1,法人事業税交付金,1,法人事業税交付金,1600000,44000,0,1644000,1644000,1644000,0,0,R2決算書p12
2020,7,地方消費税交付金,1,地方消費税交付金,1,地方消費税交付金,19344000,3907000,0,23251000,23251000,23251000,0,0,R2決算書p12
2020,8,環境性能割交付金,1,環境性能割交付金,1,環境性能割交付金,2253000,-573000,0,1680000,1680000,1680000,0,0,R2決算書p12
2020,9,地方特例交付金,1,地方特例交付金,1,地方特例交付金,236000,932000,0,1168000,1168000,1168000,0,0,R2決算書p12
2020,10,地方交付税,1,地方交付税,1,地方交付税,950000000,351671000,0,1301671000,1301671000,1301671000,0,0,R2決算書p13
2020,11,分担金及び負担金,2,負担金,2,民生費負担金,617000,20000,0,637000,637280,637280,0,0,R2決算書p13
2020,11,分担金及び負担金,2,負担金,3,農林水産業費負担金,0,39000,0,39000,51144,51144,0,0,R2決算書p13
2020,12,使用料及び手数料,1,使用料,2,民生使用料,48000,155000,0,203000,205270,205270,0,0,R2決算書p13
2020,12,使用料及び手数料,1,使用料,3,農林使用料,296000,1684000,0,1980000,1980945,909974,0,1070971,R2決算書p13
2020,12,使用料及び手数料,1,使用料,4,商工使用料,2409000,-42000,0,2367000,2356060,1288060,0,1068000,R2決算書p14
2020,12,使用料及び手数料,1,使用料,5,土木使用料,15266000,-34000,0,15232000,15232334,15232334,0,0,R2決算書p14
2020,12,使用料及び手数料,1,使用料,7,教育施設使用料,3445000,-1519000,0,1926000,1928545,1928545,0,0,R2決算書p14
2020,12,使用料及び手数料,2,手数料,1,総務手数料,809000,-96000,0,713000,714100,714100,0,0,R2決算書p14
2020,12,使用料及び手数料,2,手数料,3,衛生費手数料,1389000,-100000,0,1289000,1289050,1289050,0,0,R2決算書p15
2020,13,国庫支出金,1,国庫負担金,1,民生費国庫負担金,45702000,-3731000,0,41971000,42240442,42240442,0,0,R2決算書p15
2020,13,国庫支出金,1,国庫負担金,3,災害復旧費国庫負担金,0,79151000,0,79151000,45557992,45557992,0,0,R2決算書p15
2020,13,国庫支出金,2,国庫補助金,1,総務費国庫補助金,9426000,204928000,0,214354000,183139824,183139824,0,0,R2決算書p15
2020,13,国庫支出金,2,国庫補助金,2,民生費国庫補助金,636000,1552000,0,2188000,2188000,2188000,0,0,R2決算書p16
2020,13,国庫支出金,2,国庫補助金,3,衛生費国庫補助金,552000,1607000,0,2159000,2159446,2159446,0,0,R2決算書p16
2020,13,国庫支出金,2,国庫補助金,4,土木費国庫補助金,125234000,-6742000,10516000,129008000,57228000,57228000,0,0,R2決算書p16
2020,13,国庫支出金,2,国庫補助金,5,農林水産業費国庫補助金,25050000,-1039000,0,24011000,24011600,24011600,0,0,R2決算書p16
2020,13,国庫支出金,2,国庫補助金,6,教育費国庫補助金,130000,1912000,80744000,82786000,82786000,82786000,0,0,R2決算書p17
2020,13,国庫支出金,2,国庫補助金,7,商工費国庫補助金,750000,-750000,0,0,0,0,0,0,R2決算書p17
2020,13,国庫支出金,3,国庫委託金,1,総務費国庫委託金,166000,18000,0,184000,184000,184000,0,0,R2決算書p17
2020,13,国庫支出金,3,国庫委託金,2,民生費国庫委託金,1396000,59000,0,1455000,1363295,1363295,0,0,R2決算書p17
2020,14,県支出金,1,県負担金,1,民生費県負担金,38877000,-5563000,0,33314000,33351302,33351302,0,0,R2決算書p17
